Type,Label
TQSQ,GetIdLIMS_FixedQuery
TQSQ,GetDataImportSelectQuery
TQSQ,GetLocalByAreaMaterialEquip_SelectQuery
TQSQ,GetMaterialByArea_SelectQuery
TQSQ,GetTipoByAreaMaterialEquipLocal_SelectQuery
TQSQ,GetEnsaiosByAmostra_SelectQuery
TQSQ,GetConfig_SelectQuery
TQSQ,InsLogCommand
TQSQ,GetEquipamentByAreaMaterial_SelectQuery
TQSQ,AnalisesTagSelectQuery
TQSQ,AnalisesSelectQuery
TQSQ,TagsSelectQuery
TQSQ,EDInsertCheckSelectQuery
TQSQ,EDUpdateValor
TQSQ,EDValidacaoTurnoSelectQuery
TQSQ,EDEmailsTurnoUpdateQuery
TQSQ,EDEmailsTurnoSelectQuery
TQSQ,EDQualSubCategoriaSelectQuery
TQSQ,EDQualSubCategoriaUpdateQuery
TQSQ,EDQualSubCategoriaInsertQuery
TQSQ,EDIdUsuarioSelectQuery
TQSQ,EDUpdateUsuario2
TQSQ,EDHoraValorSelectQuery
TQSQ,EDDeleteQuery
TQSQ,EDDeleteLogQuery
TQSQ,EDQualCategoriaDeleteQuery
TQSQ,EDVariavelSelectQuery
TQSQ,EDDashboardDesviosGraficoExplodirSelectQuery
TQSQ,EDUpdateValor2
TQSQ,EDInsertUsuarioQuery
TQSQ,InsertMetricValue
TQSQ,EDEnsaiosSelectQuery
TQSQ,SelectQuery
TQSQ,EDRelatorioDiaSelectQuery
TQSQ,RDMediaSelectQuery
TQSQ,EDQualSubCategoriaBrowserSelectQuery
TQSQ,EDInsertLog
TQSQ,EDQualSubCategoriaDeleteQuery
TQSQ,EDDashboardDesviosGraficoSelectQuery
TQSQ,EDUpdateUsuario
TQSQ,TurnoSelectQuery
TQSQ,EDDashboardDesviosSelectQuery
TQSQ,EDRelatorioDia2SelectQuery
TQSQ,EDQualCategoriaUpdateQuery
TQSQ,EDQualCategoriaSelectQuery
TQSQ,EDQualCategoriaInsertQuery
TQSQ,EDMediaSelectQuery
TQSQ,EDInsert
TQSQ,EDValidacaoSelectQuery
TQSQ,ComboTipoSelectQuery
TQSQ,ComboMaterialSelectQuery
TQSQ,TagEnsaioSelectQuery
TQSQ,TagEnsaioUpdateQuery
TQSQ,TagEnsaioInsertQuery
TQSQ,ComboEquipamentoSelectQuery
TQSQ,SP_Cadastro_Material
TQSQ,PainelMaterialSelectQuery
TQSQ,AreaBrowserSelectQuery
TQSQ,PainelGrupoSelectQuery
TQSQ,SP_Cadastro_Caracteristica
TQSQ,MaterialSubgrupoBrowserSelectQuery
TQSQ,PainelEnsaioIDSelectQuery
TQSQ,PainelEnsaioSelectQuery
TQSQ,PainelMetasECCurrentSelectQuery
TQSQ,PainelSubGrupoSelectQuery
TQSQ,PainelAreaCaracSelectQuery
TQSQ,PainelQualidadeValorSelectQuery
TQSQ,SP_Cadastro_Ensaio
TQSQ,SP_Cadastro_Grupo
TQSQ,EnsaioBrowserSelectQuery
TQSQ,PainelMetasECSelectQuery
TQSQ,PainelSubGrupoCaracSelectQuery
TQSQ,PainelCountGroupSelectQuery
TQSQ,SP_Cadastro_SubGrupo
TQSQ,ComboCaracteristicaSelectQuery
TQSQ,Turno
TQSQ,RelatorioAnalises
TQSQ,ComboLocalSelectQuery
TQSQ,RelatorioAnalises_BKP
TQSQ,ComboGrupoCaracteristicaSelectQuery
TQSQ,ComboAreaSelectQuery
TQSQ,LocalDeleteQuery
TQSQ,EquipamentoDeleteQuery
TQSQ,VariavelInsertQuery
TQSQ,VariavelSelectQuery
TQSQ,EquipamentoMaterialInsertQuery
TQSQ,FormulaVariavelDeleteQuery
TQSQ,FrequenciaUpdateQuery
TQSQ,TipoDeleteQuery
TQSQ,CaracteristicaVariavelSelectQuery
TQSQ,VigenciaEnsaioInsertQuery
TQSQ,VigenciaEnsaioUpdateQuery
TQSQ,VigenciaUpdateQuery
TQSQ,VigenciaInsertQuery
TQSQ,AreaUpdateQuery
TQSQ,AreaInsertQuery
TQSQ,CaracteristicaInsertQuery
TQSQ,MaterialDeleteQuery
TQSQ,EquipamentoAllSelectQuery
TQSQ,EnsaiosSelectQuery
TQSQ,EnsaiosInsertQuery
TQSQ,CaracteristicasSelectQuery
TQSQ,AreaAllSelectQuery
TQSQ,AnalisesInsertQuery
TQSQ,EquipamentoUpdateQuery
TQSQ,LocalInsertQuery
TQSQ,EquipamentoInsertQuery
TQSQ,LocalUpdateQuery
TQSQ,TipoInsertQuery
TQSQ,TipoUpdateQuery
TQSQ,LastAnaliseSelectQuery
TQSQ,EnsaioSelectQuery
TQSQ,FormulaVariavelInsertQuery
TQSQ,EnsaioUpdateQuery
TQSQ,FormulaVariavelUpdateQuery
TQSQ,MaterialInsertQuery
TQSQ,FormulaInsertQuery
TQSQ,FormulaSelectQuery
TQSQ,FormulaUpdateQuery
TQSQ,MaterialUpdateQuery
TQSQ,AreaDeleteQuery
TQSQ,LocalAllSelectQuery
TQSQ,MaterialAllSelectQuery
TQSQ,UnidadeMedidaSelectQuery
TQSQ,UnidadeMedidaInsertQuery
TQSQ,CaracteristicaComboSelectQuery
TQSQ,PointDataSelectQuery
TQSQ,LimitesSelectQuery
TQSQ,CustonChartSelectQuery
TQSQ,AreaComboSelectQuery
TQSQ,PieChartSelectQuery
TQSQ,PointCommentsSelectQuery
TQSQ,ResultadosSelectQuery
TQSQ,WebService_Safra_Plano
TQSQ,WebService_Safra_Real
TQSQ,SqlValoresInsumoFixedQuery
TQSQ,SqlBuscaScanGroupsPorGruposFixedQuery
TQSQ,SqlMetricasInsumoGraficoSemanaFixedQuery
TQSQ,SqlChecaExisteValorFixedQuery
TQSQ,SqlGrupoInsumoFixedQuery
TQSQ,SqlMetricasInsumoGraficoDiaFixedQuery
TQSQ,SqlMetricasInsumoFixedQuery
TQSQ,SqlMetricasInsumoGraficoMesFixedQuery
TQSQ,SqlAnoSafraFixedQuery
TQSQ,SqlInsumoFixedQuery
TQSQ,SqlValoresPrevistoAnteriorInsumoFixedQuery
TQSQ,SqlInfoSafraFixedQuery
TQSQ,RendimentoFermentativoSelectQuery
TQSQ,MetricaBalancoARTSelectQuery
TQSQ,SP_LIMPA_LOG
TQSQ,SP_SELECT_GRUPO
TQSQ,SP_SELECT_CARAC_TABELA
TQSQ,PainelSetorSelectQuery
TQSQ,ED_USM
TQSQ,SP_INSERIR_CARAC_AREA
TQSQ,InsertPrevistos
TQSQ,SP_SELECT_CARAC_AREA
TQSQ,SP_INSERIR_MATERIAL
TQSQ,SP_USM_PAINEL_INSERT_SETOR
TQSQ,SP_SELECT_GRP_CARAC
TQSQ,SP_GET_PAINEL_AREA
TQSQ,SP_INSERT_AREA
TQSQ,SP_SELECT_ENSAIO_LIMITE
TQSQ,EC_USC_DataSource
TQSQ,RT_UIR_DataSource
TQSQ,SP_INSERIR_TP_ANALISE
TQSQ,SP_SELECT_AREA_SETOR
TQSQ,SP_INSERIR_RESULTADO
TQSQ,RT_USM
TQSQ,SP_DIRETRIZ_SELECT
TQSQ,EC_UIR
TQSQ,SP_SELECT_PAINEL_CARAC
TQSQ,SP_SELECT_GRP_ANALISE
TQSQ,SP_SELECT_ENSAIO_GRP
TQSQ,SP_DIRETRIZ_MANTER
TQSQ,SP_SELECT_PAINEL_VALOR
TQSQ,SP_MANTER_GANALISE
TQSQ,RT_UIR
TQSQ,SP_SELECT_MATERIAL_AREA
TQSQ,EC_USC
TQSQ,SP_SELECT_PAINEL_MATERIAL
TQSQ,SP_INSERIR_LCL_COLETA
TQSQ,RT_USC_DataSource
TQSQ,SP_INSERT_MATERIAL_AREA
TQSQ,SP_SELECT_INDICADOR
TQSQ,EC_UIR_DataSource
TQSQ,RT_USC
TQSQ,SP_SELECT_ENSAIO_AREA
TQSQ,SP_INSERT_ENSAIO_AREA
TQSQ,SP_INSERIR_LOG
TQSQ,SP_SELECT_PREVI_MOAGEM
TQSQ,LISTA_LIMITES_PAINEL
TQSQ,SP_UPDATE_LIMITE
TQSQ,SP_SELECT_COUNT_GRUPO
TQSQ,SP_INSERIR_ENSAIO
TQSQ,SP_SELECT_MATERIAL_GRP_ANALISE
TQSQ,SQL_INDICADORES
TQSQ,SQL_PLAN_METAS
TQSQ,DEValorVariaveisSelectQuery
TQSQ,DEVariavelDeleteQuery
TQSQ,DEValorDeleteQuery
TQSQ,DEValoresVariavelDeleteQuery
TQSQ,DEVariavelSelectQuery
TQSQ,DEVariavelUpdateQuery
TQSQ,DEVariavelInsertQuery
TQSQ,DESelectQuery
TQSQ,DEValorInsertQuery
TQSQ,DEValorUpdateQuery
TQSQ,DEFrequenciaSelectQuery
TQSQ,DEUnidadeMedidaSelectQuery
TQSQ,ApontamentoInsertQuery
TQSQ,ApontamentoUpdateQuery
TQSQ,ApontamentoSelectQuery
TQSQ,ObservacoesSelectQuery
TQSQ,EquipamentoComboSelectQuery
TQSQ,ApontamentoRelatorioSelectQuery
TQSQ,CategoriaDeleteQuery
TQSQ,ApontamentoDeleteQuery
TQSQ,EquipamentoSelectQuery
TQSQ,SubCategoriaComboSelectQuery
TQSQ,SubCategoriaInsertQuery
TQSQ,SubCategoriaUpdateQuery
TQSQ,SubCategoriaSelectQuery
TQSQ,CategoriaComboSelectQuery
TQSQ,CategoriaSelectQuery
TQSQ,CategoriaUpdateQuery
TQSQ,CategoriaInsertQuery
TQSQ,qryLeDadosAt
TQSQ,qryLeHistorico
TQSQ,qryListaTag
TQSQ,UBV_MAQUINA_Filtro_SelectQuery
TQSQ,UBV_PARADA_Maquina_SelectQuery
TQSQ,UBV_PARADA_MAQUINA
TQSQ,UBV_PARADA_Ins
TQSQ,UBV_PARADA_Upd
TQSQ,UBV_MAQUI_COMPO_Maquina_SelectQuery
TQSQ,UBV_COMPO_MOTIV_Componente_SelectQuery
TQSQ,UBV_MAQUI_TIPO_SelectQuery
TQSQ,UBV_MOTIVO_CAUSA_Motivo_SelectQuery
