Type,FullName,Label
TRX,SaoMartinho/Qualidade/AL/Transactions/AnaliseGraficoTransaction,AnaliseGraficoTransaction
TRX,SaoMartinho/Qualidade/AL/Transactions/AnaliseRelatoriosTransaction,AnaliseRelatoriosTransaction
TRX,SaoMartinho/Qualidade/AL/Transactions/DesviosTurnosTransaction,DesviosTurnosTransaction
TRX,SaoMartinho/Qualidade/AL/Transactions/DesviosTurnoTransaction,DesviosTurnoTransaction
TRX,SaoMartinho/Qualidade/Config/Transaction/GetDataFromLIMSFile,GetDataFromLIMSFile
TRX,SaoMartinho/Qualidade/Config/Transaction/ContentSaving,ContentSaving
TRX,SaoMartinho/Qualidade/Ponderacao/Transaction/PonderacaoTransaction,PonderacaoTransaction
TRX,SaoMartinho/Qualidade/ED/Transactions/EDQualSubCategoriaTransaction,EDQualSubCategoriaTransaction
TRX,SaoMartinho/Qualidade/ED/Transactions/INSERT_QUALITY,INSERT_QUALITY
TRX,SaoMartinho/Qualidade/ED/Transactions/EDQualCategoriaTransaction,EDQualCategoriaTransaction
TRX,SaoMartinho/Qualidade/ED/Transactions/APROVA_AUTOMATICO,APROVA_AUTOMATICO
TRX,SaoMartinho/Qualidade/PN/Transactions/PainelMetasTransaction,PainelMetasTransaction
TRX,SaoMartinho/Qualidade/PN/Transactions/PainelMetasTransaction_new,PainelMetasTransaction_new
TRX,SaoMartinho/Qualidade/REL/Transaction/TrxRelatorioAnalises,TrxRelatorioAnalises
TRX,SaoMartinho/Qualidade/REL/Transaction/TrxGrupos,TrxGrupos
TRX,SaoMartinho/WebService/Transactions/WebServiceSafraPlanoTransaction,WebServiceSafraPlanoTransaction
TRX,SaoMartinho/WebService/Transactions/WebServiceSafraTransaction,WebServiceSafraTransaction
TRX,SaoMartinho/INS/Transaction/TrxInsumos,TrxInsumos
TRX,SaoMartinho/INS/Transaction/TrxMesSafra,TrxMesSafra
TRX,SaoMartinho/INS/Transaction/TrxExecScan,TrxExecScan
TRX,SaoMartinho/INS/Transaction/TrxInsumosGrafico,TrxInsumosGrafico
TRX,SaoMartinho/INS/Transaction/TrxInsumosApontamento,TrxInsumosApontamento
TRX,SaoMartinho/INS/Transaction/TrxAtualizaInsumos,TrxAtualizaInsumos
TRX,SaoMartinho/VP/Transactions/GridTransaction,GridTransaction
TRX,SaoMartinho/REL/Transactions/trxRelatorioIndustrial,trxRelatorioIndustrial
TRX,SaoMartinho/REL/Transactions/RelatorioExterno,RelatorioExterno
TRX,SaoMartinho/REL/Transactions/RELBartARTTrx,RELBartARTTrx
TRX,SaoMartinho/USM/PN/TRANSACTION/InsertPrevistos,InsertPrevistos
TRX,SaoMartinho/USM/PN/TRANSACTION/SincResultados1,SincResultados1
TRX,SaoMartinho/USM/PN/TRANSACTION/PainelUSMMetasTransaction,PainelUSMMetasTransaction
TRX,SaoMartinho/USM/PN/TRANSACTION/LimpaLogPainel,LimpaLogPainel
TRX,SaoMartinho/USM/PN/TRANSACTION/SincResultados,SincResultados
TRX,SaoMartinho/PTI/Transaction/GridGauge,GridGauge
TRX,SaoMartinho/PTI/Transaction/Chart_Relacao,Chart_Relacao
TRX,SaoMartinho/PTI/Transaction/Chart,Chart
TRX,SaoMartinho/EF/Transaction/Relatorio,Relatorio
TRX,SaoMartinho/EF/Transaction/CategoriaCommand,CategoriaCommand
TRX,SaoMartinho/EF/Transaction/SubCategoriaCommand,SubCategoriaCommand
TRX,SaoMartinho/EF/Transaction/EquipamentoCommand,EquipamentoCommand
TRX,SaoMartinho/EF/Transaction/ApontamentoCommand,ApontamentoCommand
TRX,SaoMartinho/TSA/Transaction/trxLeDadosAt,trxLeDadosAt
TRX,SaoMartinho/TSA/Transaction/trxLeHistorico,trxLeHistorico
TRX,SaoMartinho/TSA/Transaction/trxListaTag,trxListaTag
TRX,SaoMartinho/Parada_Agricola/Transactions/painelMaquinasParadas_new,painelMaquinasParadas_new
TRX,SaoMartinho/RBD/Transactions/AtualizaJustificativa,AtualizaJustificativa
TRX,SaoMartinho/global/Transactions/PlanoGrupoRelatorioTempTransaction,PlanoGrupoRelatorioTempTransaction
