TYPE,SOURCE,EDGES,TARGET
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_SAFRA,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Import_Insumos_Previsto_SafraAnt,QUERY,DADOS_SAFRA_ANT
TRX,SaoMartinho/SAP/Transactions/Import_Insumos_Previsto_SafraAnt,QUERY,INSERT_DATA
TRX,SaoMartinho/SAP/Transactions/Import_Insumos_Previsto_SafraAnt,QUERY,GET_DATE_START_SAFRA
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Real,QUERY,SQL
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Real,RFC,BAPI_GOODSMVT_GETITEMS
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Real,QUERY,VERIF
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Real,QUERY,INSERT
TRX,SaoMartinho/SAP/Transactions/IntSAP_Metricas,QUERY,SQL_HR_PARADAS
TRX,SaoMartinho/SAP/Transactions/IntSAP_Metricas,QUERY,SQL_PROD_ALC
TRX,SaoMartinho/SAP/Transactions/IntSAP_Metricas,QUERY,SQL_PROD_ALC_2
TRX,SaoMartinho/SAP/Transactions/IntSAP_Metricas,QUERY,SQL_PROD_ALC_3
TRX,SaoMartinho/SAP/Transactions/IntSAP_Metricas,CALL,SaoMartinho/SAP/Transactions/Get_Value_PI_Metric
TRX,SaoMartinho/SAP/Transactions/IntSAP_Metricas,QUERY,ATUALIZA_LOTE_ALCOOL_CALDO
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,RFC,Z_SAP_ENVIA_DADOS_REAL_XMII
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Get_Centros
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Get_Tipo_Indicador
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Select_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Update_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo,QUERY,SaoMartinho/SAP/Queries/Insert_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SELEC_CRHE
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SELEC_CRFT
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SELEC_CRFV
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,UPDAT_CODIG_RECEI
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,CALL,SaoMartinho/SAP/Transactions/IntSAP_Exceptions
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,CALL,SaoMartinho/SAP/Transactions/IntSAP_Characteristics
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,Verify_MSID
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SELECT_MSHD
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SaoMartinho/SAP/Queries/IntSAP_SAP_MSHD_Insert
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SaoMartinho/SAP/Queries/IntSAP_SAP_MSEL_Insert
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,QUERY,SaoMartinho/SAP/Queries/IntSAP_SAP_MSEL_Insert
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process,CALL,SaoMartinho/SAP/Transactions/IntSAP_InsertField_Metricas
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,RFC,Z_SAP_ENVIA_DADOS_REAL_XMII
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/global/Queries/Get_Centros
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Get_Tipo_Indicador
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Select_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Update_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_Retroativo_PREVREAL,QUERY,SaoMartinho/SAP/Queries/Insert_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/Ger_CrtlRecipe,QUERY,SaoMartinho/SAP/Queries/Ger_ReceitasControle
TRX,SaoMartinho/SAP/Transactions/Ger_CrtlRecipe,QUERY,Get_UNID_MED
TRX,SaoMartinho/SAP/Transactions/Ger_CrtlRecipe,QUERY,Get_NUM_ORDER
TRX,SaoMartinho/SAP/Transactions/Ger_CrtlRecipe,QUERY,Get_QTD_PLAN
TRX,SaoMartinho/SAP/Transactions/Ger_CrtlRecipe,QUERY,Get_QTD_REAL
TRX,SaoMartinho/SAP/Transactions/Ger_CrtlRecipe,QUERY,STATUS
TRX,SaoMartinho/SAP/Transactions/Ger_Movimentos_Details,RFC,Z_SAP_PROCES_MESSAGES_XMII
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,RFC,Z_SAP_PROCES_MESSAGES_XMII
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,QUERY,UPDATE
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,QUERY,SQL_NR_ORDEM
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,QUERY,MSHD
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,QUERY,UPDATE_2
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,QUERY,SAP_MSID
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync,QUERY,UPDATE_3
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,RFC,Z_SAP_ENVIA_DADOS_REAL_XMII
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Get_Centros
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Get_Tipo_Indicador
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Characters_Decode,QUERY,SQL_CRHE
TRX,SaoMartinho/SAP/Transactions/IntSAP_Characters_Decode,QUERY,SQL_CRFV
TRX,SaoMartinho/SAP/Transactions/IntSAP_Characters_Decode,QUERY,SQL_CHAR_DEC
TRX,SaoMartinho/SAP/Transactions/IntSAP_Characters_Decode,QUERY,UPD_CRHE
TRX,SaoMartinho/SAP/Transactions/IntSAP_Characters_Decode,CALL,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Process
TRX,SaoMartinho/SAP/Transactions/IntSAP_Characters_Decode,QUERY,UPD_CRFV
TRX,SaoMartinho/SAP/Transactions/IntSAP_Paradas_Moenda,QUERY,SQL
TRX,SaoMartinho/SAP/Transactions/IntSAP_Paradas_Moenda,QUERY,Command
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send,QUERY,INSTRUCTIONS
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send,QUERY,CHARACTERISTICS
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send,QUERY,UPDAT_MSEL
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send,QUERY,UPDAT_MSHD
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send,RFC,PROCESS_MESS_UPLOAD
TRX,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send,CALL,SaoMartinho/SAP/Transactions/IntSAP_CrtlRecipe_Send_Sync
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Get_Centros
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Get_Tipo_Indicador
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Select_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Update_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,QUERY,SaoMartinho/SAP/Queries/Insert_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP,RFC,Z_SAP_ENVIA_DADOS_REAL_XMII
TRX,SaoMartinho/SAP/Transactions/IntSAP_Previ_Real,QUERY,SQL
TRX,SaoMartinho/SAP/Transactions/IntSAP_Previ_Real,QUERY,MTC
TRX,SaoMartinho/SAP/Transactions/IntSAP_Previ_Real,CALL,SaoMartinho/global/Transactions/ComboTransaction
TRX,SaoMartinho/SAP/Transactions/IntSAP_Previ_Real,QUERY,MTC2
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,INDICADORES
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,Prev_DIA
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,Real_DIA
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,CALL,SaoMartinho/global/Transactions/ComboTransaction
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,Prev_SEM
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,Real_SEM
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,RFC,Z_MII_ENVIA_DADOS_REAL_SAP
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,CALL,SaoMartinho/global/Transactions/ComboTransaction
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,Prev_MES
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_RFC,QUERY,Real_MES
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/global/Queries/Get_Centros
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/SAP/Queries/Get_Tipo_Indicador
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Real_SAP_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Meta_Safra
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Acum_RFC,QUERY,INDICADORES
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Acum_RFC,QUERY,Prev_ACM
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Acum_RFC,QUERY,Real_ACM
TRX,SaoMartinho/SAP/Transactions/IntSAP_Prev_Acum_RFC,RFC,Z_MII_ENVIA_DADOS_REAL_SAP
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Manual,QUERY,SQL
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Manual,RFC,BAPI_GOODSMVT_GETITEMS
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Manual,QUERY,VERIF
TRX,SaoMartinho/SAP/Transactions/IntSAP_Insumos_Manual,QUERY,INSERT
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,RFC,Z_SAP_ENVIA_DADOS_REAL_XMII
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Get_Centros
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Get_Tipo_Indicador
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Update_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Insert_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Select_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/SAP/Queries/Select_Real_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Update_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/Z_TESTE_TAB,QUERY,SaoMartinho/global/Queries/Insert_Plano_Safra
TRX,SaoMartinho/SAP/Transactions/MonitorIntReadInterfaceList,QUERY,SaoMartinho/SAP/Queries/MonitorIntReadInterfaceList
TRX,SaoMartinho/SAP/Transactions/IntSAP_Qtd_Lote,RFC,Z_SAP_MAT_CENT_DEP_ESTOQUE
TRX,SaoMartinho/SAP/Transactions/IntSAP_Qtd_Lote,QUERY,SaoMartinho/SAP/Queries/Get_Mat_Storage
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGraficoDiarioSelectQuery,SELECT,AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresSelectQuery,SELECT,AP_METRICDEFINITIONS
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGraficoAcumuladoSelectQuery,SELECT,UBVISTA.UBV_SAFRA_DATAS
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGraficoAcumuladoSelectQuery,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGraficoSelectQuery,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGridAcumuladoSelectQuery,SELECT,UBVISTA.UBV_SAFRA_DATAS
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGridAcumuladoSelectQuery,SELECT,METRICA.AP_METRICHISTORY
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGridAcumuladoSelectQuery,SELECT,UBVISTA.UBV_INDICADORES
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGridAcumuladoSelectQuery,SELECT,METRICA.AP_DASH_METRICA
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/SafrasSelectQuery,SELECT,UBV_SAFRA_DATAS
TQSQ,/SaoMartinho/SaoMartinho/CS/Queries/DashboardSelectQuery,SELECT,AP_DASHBOARDS
TQXC,/SaoMartinho/SaoMartinho/CS/Queries/IndicadoresGraficoXacuteQuery,CALL,IndicadoresGraficoTransaction
TRX,SaoMartinho/CS/Transactions/IndicadoresGridTransaction,QUERY,SaoMartinho/CS/Queries/IndicadoresGraficoSelectQuery
TRX,SaoMartinho/CS/Transactions/IndicadoresGridTransaction,CALL,SaoMartinho/global/Transactions/ComboTransaction
TRX,SaoMartinho/CS/Transactions/IndicadoresGridTransaction,QUERY,SaoMartinho/CS/Queries/IndicadoresSelectQuery
TRX,SaoMartinho/CS/Transactions/IndicadoresGridTransaction,QUERY,SaoMartinho/CS/Queries/IndicadoresGridAcumuladoSelectQuery
TRX,SaoMartinho/CS/Transactions/IndicadoresGraficoTransaction,QUERY,SaoMartinho/CS/Queries/IndicadoresGraficoDiarioSelectQuery
TRX,SaoMartinho/CS/Transactions/IndicadoresGraficoTransaction,CALL,SaoMartinho/global/Transactions/ComboTransaction
TRX,SaoMartinho/CS/Transactions/IndicadoresGraficoTransaction,QUERY,SaoMartinho/CS/Queries/IndicadoresGraficoSelectQuery
TRX,SaoMartinho/CS/Transactions/IndicadoresGraficoTransaction,QUERY,SaoMartinho/CS/Queries/IndicadoresGraficoSelectQuery
