SOURCE_TYPE,SOURCE_NAME,EDGES,TARGET_TYPE,TARGET_NAME
TRX,trxSafraPercentPE,QUERY,TQSQ,VerificarSafraAnoPE
TRX,ComboTransaction,QUERY,TQSQ,SafraListSelectQuery
TRX,PlanoGraficoHistoricoPETransaction,CALL,TRX,PlanoRelatorioPETransaction
TRX,PlanoGraficoHistoricoPETransaction,CALL,TRX,ComboTransaction
TRX,PlanoGraficoHistoricoPETransaction,QUERY,TQSQ,BuscaVersaoPrevistoMetaSelectQuery
TRX,PlanoGraficoHistoricoPETransaction,CALL,TRX,SafraInfoTransaction
TRX,SafraInfoTransaction,QUERY,TQSQ,SafraSelectQuery
TQXC,XacuteSafraPercentPE,CALL,TRX,trxSafraPercentPE
TQXC,SafraInfoXacuteQuery,CALL,TRX,SafraInfoTransaction
TQXC,PlanoRelatorioPEXacuteQuery,CALL,TRX,PlanoRelatorioPETransaction
TQSQ,SafraListSelectQuery,SELECT,TABLE,UBVISTA.UBV_SAFRA_DATAS_PE
TQSQ,SafraAllSelectQuery,SELECT,TABLE,UBV_SAFRA_DATAS_PE
TQXC,ComboXacuteQuery,CALL,TRX,ComboTransaction
TQSQ,SafraInfoFimSelectQuery,SELECT,TABLE,UBV_SAFRA_DATAS_PE
TQSQ,SafraInfoFimSelectQuery,SELECT,TABLE,DUAL
TQXC,PlanoGraficoHistoricoPEXacuteQuery,CALL,TRX,PlanoGraficoHistoricoPETransaction
TQSQ,SafraSelectQuery,SELECT,TABLE,UBVISTA.UBV_SAFRA_DATAS_PE
TQSQ,safraPercentPESelectQuery,SELECT,TABLE,UBV_SAFRA_DATAS
TQSQ,safraPercentPESelectQuery,SELECT,TABLE,AP_METRICHISTORY
TQSQ,safraPercentPESelectQuery,SELECT,TABLE,UBVISTA.UBV_META
TQSQ,safraPercentPESelectQuery,SELECT,TABLE,DUAL
TQXC,SafraCommandXacuteQuery,CALL,TRX,SafraCommand
TQXC,IndicadorXacuteQuery,CALL,TRX,GridTransaction
TQXC,IndicadorMobileXacuteQuery,CALL,TRX,GridTransactionMobile
TQXC,IndicadorHistoricoXacuteQuery,CALL,TRX,ChartTransaction
TQSQ,CanaHistoricoSelectQuery,SELECT,TABLE,UBVISTA.SAP_ZCAN01
TRX,ChartTransaction,QUERY,TQSQ,CanaHistoricoSelectQuery
TRX,ChartTransaction,QUERY,TQSQ,IndicadoresSelectQuery
TRX,GridTransaction,QUERY,TQSQ,IndicadoresSelectQuery
TRX,GridTransactionMobile,QUERY,TQSQ,IndicadoresSelectQuery
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,UBV_INSUMOS_PREVISTO
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,UBVISTA.UBV_PLANO_SAFRA
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,UBVISTA.UBV_META
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,METRICA.AP_METRICHISTORY
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,METRICA.AP_METRICGROUP
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,METRICA.MES_UNIDADEMEDIDA
TQSQ,PlanoRelatorioMetricasSelectQueryIPA,SELECT,TABLE,METRICA.AP_INDIC_FORMULA
TQSQ,GrupoSelectQuery,SELECT,TABLE,METRICA.AP_GROUP
TQSQ,PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,TABLE,UBVISTA.UBV_PLANO_SAFRA
TQSQ,PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,TABLE,METRICA.AP_METRICHISTORY
TQSQ,PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQSQ,PlanoRelatorioMetricasHistoricoSemanaSelectQuery,SELECT,TABLE,METRICA.AP_INDIC_FORMULA
TQSQ,QueryMetricaOut,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQXC,PlanoRelatorioXacuteQuery,CALL,TRX,PlanoRelatorioTransaction
TQSQ,PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,TABLE,UBVISTA.UBV_PLANO_SAFRA
TQSQ,PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,TABLE,METRICA.AP_METRICHISTORY
TQSQ,PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQSQ,PlanoRelatorioMetricasHistoricoMesSelectQuery,SELECT,TABLE,METRICA.AP_INDIC_FORMULA
TQSQ,PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,TABLE,UBVISTA.UBV_PLANO_SAFRA
TQSQ,PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,TABLE,METRICA.AP_METRICHISTORY
TQSQ,PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQSQ,PlanoRelatorioMetricasHistoricoDiaSelectQuery,SELECT,TABLE,METRICA.AP_INDIC_FORMULA
TQSQ,persistirGrupo,PROC,PROC,PKG_INDICADORGRUPO.SP_PersistirGrupo
TQSQ,QueryMetricaIn,SELECT,TABLE,METRICA.AP_METRICGROUP
TQSQ,QueryMetricaIn,SELECT,TABLE,METRICA.AP_METRICDEFINITIONS
TQSQ,InsertIndicadorGrupo,INSERT,TABLE,METRICA.AP_METRICGROUP
TQSQ,PlanoRelatorioMetricasSelectQuery,PROC,PROC,PKG_INDICADOR.SP_GetHistorico
TQSQ,CadastroGrupoSelect,SELECT,TABLE,METRICA.AP_GROUP
TRX,PlanoRelatorioTransaction3,QUERY,TQSQ,RelatorioMetricasSelectQuery
TRX,PlanoRelatorioTransaction3,CALL,TRX,SafraInfoTransaction
TRX,PlanoRelatorioTransaction3,CALL,TRX,PlanoFormulaTransaction
TRX,PlanoRelatorioTransaction3,QUERY,TQSQ,BuscaVersaoPrevistoMetaSelectQuery
TRX,PlanoRelatorioTransaction_BKP,QUERY,TQSQ,RelatorioMetricasSelectQuery
TRX,PlanoRelatorioTransaction_BKP,CALL,TRX,SafraInfoTransaction
TRX,PlanoRelatorioTransaction_BKP,CALL,TRX,PlanoFormulaTransaction
TRX,PlanoRelatorioTransaction_BKP1,QUERY,TQSQ,RelatorioMetricasSelectQuery
TRX,PlanoRelatorioTransaction_BKP1,CALL,TRX,SafraInfoTransaction
TRX,PlanoRelatorioTransaction_BKP1,CALL,TRX,PlanoFormulaTransaction
TRX,PlanoRelatorioTransaction,QUERY,TQSQ,RelatorioMetricasSelectQuery
TRX,PlanoRelatorioTransaction,CALL,TRX,SafraInfoTransaction
TRX,PlanoRelatorioTransaction,CALL,TRX,PlanoFormulaTransaction
TRX,PlanoRelatorioTransaction,QUERY,TQSQ,BuscaVersaoPrevistoMetaSelectQuery
TQXC,Xct_ReceitasControle,CALL,TRX,Ger_CrtlRecipe
TQSQ,IntSAP_CrtlRecipe_SEL_INSTRUCTIONSMAPPING,SELECT,TABLE,SAP_INSTRUCTIONSMAPPING
TQXC,Ger_Update_MSEL_MSHD,CALL,TRX,Ger_Update_MSEL_MSHD
TQSQ,Ger_Features,SELECT,TABLE,SAP_MSEL
TQSQ,Ger_Features,SELECT,TABLE,SAP_CHARACTERISTICS
TQSQ,IntSAP_SistAgricola_Insert_ZCAN05,INSERT,TABLE,SAP_ZCAN05
TQSQ,Ger_Data_Features,SELECT,TABLE,SAP_MSEL
TQXC,CtrlRecipeSyncron,CALL,TRX,IntSAP_CrtlRecipe_Send_Sync
TQSQ,IntSAP_SistAgricola_Update_ZCAN04,UPDATE,TABLE,SAP_ZCAN04
TQSQ,InsumosRealDataSelectQuery,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,InsumosRealDataSelectQuery,SELECT,TABLE,UBV_INSUMOS_REAL
TQSQ,GetSchedStartOrderFixedQuery,SELECT,TABLE,SAP_CRHE
TQSQ,IntSAP_ParadaMoenda_Insert,INSERT,TABLE,SAP_PARADA_MOENDA
TQSQ,Get_Mat_Storage,SELECT,TABLE,SAP_MSEL
TQSQ,Get_ParadaMoenda,SELECT,TABLE,UBVISTA.SAP_PARADA_MOENDA
TQSQ,Get_Calendar_NUBV_UpdateQuery,UPDATE,TABLE,UBV_SAFRA_CENTRO
TQXC,Xct_Status_Details,CALL,TRX,Ger_Movimentos_Details
TQSQ,Get_Calendar_NUBV_SelectQuery,SELECT,TABLE,UBV_SAFRA_CENTRO
TQSQ,Get_Calendar_NUBV_InsertQuery,INSERT,TABLE,UBV_SAFRA_CENTRO
TQSQ,IntSAP_ParadaMoenda_Update,UPDATE,TABLE,SAP_PARADA_MOENDA
TQSQ,IntSAP_SistAgricola_Update_ZCAN05,UPDATE,TABLE,SAP_ZCAN05
TQSQ,Teste_Edinei,SELECT,TABLE,UBV_INSUMOS_PREVISTO
